id_maladie,id_ville,date,cas_asthme,cas_bronchite,cas_cancer_poumon,taux_hospitalisation,mortalite_respiratoire
490,10,2018-07,910,634,275,,"2,2"
629,9,2024-12,801,579,248,0.056,0.90
914,8,2020-11,421,332,117,0.038,2.76
449,3,2019-03,1 062,808,-999,"0,069", 2.42 
264,6,2018-08,838,568,247,5.1%,"1,0"
873,6,2024-01,606,455,193,5.1%,1.36e+00
807,6,2024-04,517,409,169,0.005, 1.40 
1072,3,2016-09,-999,711,299,9.3%,2.26
81,6,2024-08,511,378,150,0.027,1.31
806,5,2021-03,1039,752,298,"0,054","1,2"
293,8,2019-12,177,184,,?, 1.21 
257,3,2018-07,1015,749,294,"0,069",3.00
10,2,2024-07,555,402,170,-999,1.86
159,6,2017-10,552,-999,197,3.2%, 2.17 
1026,7,2024-12,1166,878,376,2.7%,"1,7"
281,7,2023-08,1108,,371,0.049,2.09
86,9,2022-08,1050,752,321,"0,033",1.55
686,10,2018-04,464,392,180,, 1.91 
156,8,2018-09,627,427,,0.049,3.65e+00
234,10,2018-01,998,714,,"0,041", 1.91 
1073,9,2022-07,,556,249,"0,027", 1.52 
271,2,2021-08,438,-999,145,0.040,"1,9"
82,4,2022-02,490,349,178,"0,040",2.06
45,10,2020-02,1026,739,-999,0.032,2.26
199,7,2024-02,1370,999,407,0.084,2.31
436,3,2019-12,790,610,274,0.049,1.98e+00
602,1,2017-12,505,346,157,0.045,2.31e+00
968,2,2018-10,545,451,182,0.058,"2,0"
859,3,2022-06,1342,,416,10.3%,4.03e+00
895,3,2021-06,924,734,303,6.1%,"1,9"
330,5,2019-09,674,508,193,"0,024",1.25
616,1,2018-02,503,295,145,"0,040",1.89
546,10,2018-04,-999,574,209,4.9%,2.20
714,7,2023-10,1093,828,342,"0,057","2,1"
796,10,2022-11,401,298,156,0.016,1.84
983,9,2021-03,835,667,279,NaN,1.26
1074,1,2022-02,,227,,0.000,1.15
252,1,2024-02,483,467,,,2.79
348,7,2019-11,1035,807,,0.041,1.14
459,7,2017-05,883,710,271,0.052, 2.29 
362,3,2018-03,1097,805,323,0.049, 1.53 
78,3,2017-08,1226,923,,"0,059",2.12
247,9,2023-06,715,495,217,"0,040",2.00
1051,8,2021-11,365,358,133,0.038,1.29
1078,1,2024-01,425,342,121,0.060,2.36
222,3,2024-03,958,-999,315,0.065,2.37e+00
927,6,2018-12,456,385,150,0.021,1.10
650,8,2024-05,395,303,,3.4%,1.91
116,4,2020-02,,352,149,8.8%,2.30
434,7,2022-05,-999,371,-999,0.030,0.44
744,2,2020-10,316,231,103,5.7%, 1.39 
220,7,2019-09,996,724,324,0.034,1.11
694,4,2021-08,357,249,-999,0.038,2.33
604,8,2022-12,504,436,176,,3.12
683,8,2017-06,273,200,70,,0.93
720,1,2024-09,494,361,146,0.066,"1,8"
624,10,2016-10,474,341,152,,1.01e+00
108,4,2020-08,338,,93,"0,059", 1.36 
307,7,2021-02,866,-999,272,"0,037",1.35
221,3,2017-01,,678,275,7.9%, 2.38 
238,5,2020-08,838,588,,0.035,1.39
941,7,2017-06,467,415,185,0.017,"0,8"
33,9,2022-02,710,602,223,"0,022",9.34e-01
1017,9,2018-03,569,-999,,"0,059", 1.62 
213,7,2017-10,985,724,310,6.9%,2.23
414,7,2021-09,828,579,252,0.025,1.20
245,6,2019-06,455,293,127,0.046,0.65
756,5,2016-08,1210,955,388,0.045,"2,1"
950,2,2024-03,-999,512,200,0.056,2.45
891,5,2022-04,740,610,223,0.034,"1,4"
152,6,2019-10,799,-999,240,0.027,1.34
810,2,2017-07,5825,4357,1811,25.0%,24.07
615,1,2019-03,382,280,-999,"0,039",1.51
826,1,2019-09,321,294,116,0.067,"1,4"
1007,9,2016-04,1006,734,298,"0,019",1.85
329,1,2020-09,373,-999,,,1.41
428,2,2023-11,-999,299,-999,6.0%, 2.64 
638,4,2017-12,282,180,72,0.007,1.13e+00
862,7,2022-12,607,-999,180,, 0.79 
906,7,2020-12,-999,714,295,4.1%,1.66
1053,6,2019-01,726,542,226,"0,042",2.19
128,7,2021-12,1032,828,323,,2.18
1052,8,2023-04,341,250,127,0.012,1.53
426,4,2016-12,286,153,96,,0.65
517,7,2020-07,1030,775,326,3.0%,2.04
46,10,2021-02,615,477,203,"0,068","1,4"
634,1,2024-10,303,246,97,4.3%,1.56
746,8,2023-02,274,216,59,0.025,0.66
834,5,2020-10,1091,-999,342,3.9%,1.10
543,9,2021-07,1106,-999,360,6.1%,1.67
735,5,2023-11,740,532,226,,"1,3"
938,5,2021-06,882,-999,283,0.036,"1,5"
897,2,2022-08,440,365,157,,2.33
685,5,2019-07,751,552,215,,1.73e+00
1002,5,2021-03,1040,721,314,"0,032",2.39
354,10,2016-03,490,399,162,9.9%,1.62
959,4,2020-06,621,411,169,0.074, 2.67 
68,6,2016-03,,555,237,0.049, 1.67 
913,6,2017-06,578,416,183,NaN,1.43
743,8,2021-01,211,170,-999,0.025,0.83
38,7,2016-08,1095,-999,348,5.7%,2.33
168,6,2018-04,742,499,230,0.049,0.78
19,5,2024-02,-999,403,203,0.016,1.08
970,1,2023-05,444,315,136,0.033,
409,2,2017-10,465,,142,0.028,1.08
790,8,2017-02,363,259,103,5.9%,"0,8"
260,1,2024-07,482,374,134,0.049, 1.69 
1042,3,2019-04,938,720,260,0.048,2.80
157,3,2020-03,1235,-999,,,"2,7"
405,4,2017-09,515,318,156,4.0%, 1.12 
456,7,2021-07,933,658,282,"0,043","2,3"
49,9,2021-06,539,418,166,0.0%, 0.75 
750,4,2022-05,,283,-999,0.030,"1,2"
885,5,2016-01,795,604,242,0.046,1.37
566,6,2021-06,707,530,216,0.045,2.15
739,6,2024-07,765,557,229,5.0%,1.39
899,6,2023-11,535,388,-999,0.041,0.78
492,1,2019-05,365,250,137,0.052,"1,6"
1080,10,2021-10,370,307,127,"0,031", 0.69 
462,2,2016-12,533,410,161,6.8%,-999
342,7,2018-06,778,627,261,0.050,1.91
727,1,2016-07,339,,,"0,044","1,5"
249,2,2024-09,374,320,120,-999,"2,4"
84,4,2017-01,362,265,,"0,038",
259,6,2017-09,441,305,126,0.034, 1.41 
357,6,2020-04,761,,240,0.045,0.77
782,1,2022-12,330,219,100,, 1.85 
787,2,2021-06,,433,168,,2.36
641,9,2024-01,713,509,236,0.019,1.00
632,7,2022-06,-999,433,196,0.013, 0.90 
692,2,2022-10,508,386,166,0.027,1.13
799,6,2016-05,828,611,248,3.0%,2.14
356,1,2018-03,578,-999,169,0.056,2.63
497,3,2016-02,944,694,293,5.0%,2.50
445,4,2022-01,438,-999,107,5.3%,2.47e+00
933,3,2019-06,1112,897,345,0.094,3.26
931,7,2018-10,1457,1138,473,0.089,2.73e+00
795,5,2018-11,774,551,247,0.056,0.81
732,8,2018-10,222,147,,,0.35
305,10,2022-06,582,424,180,0.049,2.04e+00
170,10,2016-04,797,611,246,,1.63e+00
598,5,2016-12,,665,243,"0,022",1.40
893,5,2016-10,651,487,220,2.2%,1.64
331,10,2020-01,729,567,-999,0.081,1.01
289,3,2020-08,,752,288,8.2%,2.08
1019,10,2018-02,-999,619,256,0.051,1.71
1058,8,2024-11,,243,93,0.035, 0.86 
34,3,2020-10,1 058,766,,0.081,2.44
770,1,2022-09,330,281,-999,0.053,"2,3"
430,7,2017-11,1220,902,389,?, 1.79 
339,3,2020-06,1134,894,362,5.1%,"2,4"
776,1,2018-06,624,423,151,0.057,"2,6"
1029,7,2017-03,1058,834,332,0.028,2.97
540,4,2018-11,,354,,2.4%,1.53
110,2,2020-09,492,368,138,0.026, 2.15 
196,10,2022-04,920,691,305,0.045,1.61
258,6,2023-07,537,468,151,0.046,1.88
224,4,2016-04,476,332,144,7.1%,2.16
145,6,2020-07,798,,256,"0,031",1.04
60,3,2018-10,1371,1031,424,0.095,"3,0"
446,2,2018-01,472,-999,145,0.075,1.43
864,9,2016-01,-999,501,223,3.6%,2.01e+00
797,10,2017-02,865,653,275,3.7%,"2,0"
211,1,2019-06,435,313,125,3.7%, 1.59 
883,8,2024-04,444,343,137,0.057,"1,7"
583,10,2022-05,935,741,291,0.056,2.34
495,5,2020-04,589,406,172,0.014,0.86
949,10,2021-11,1025,783,328,3.0%,2.96
886,5,2021-11,530,415,185,1.4%,0.65
846,4,2018-08,526,411,162,0.052,1.97e+00
123,3,2018-06,1323,1045,403,0.102,3.45
908,10,2024-06,723,536,218,1.7%, 2.39 
594,2,2019-10,464,367,155,0.046,2.50e+00
887,4,2017-06,420,325,117,"0,054",1.33
1061,1,2024-04,484,349,133,,1.70
374,10,2024-07,664,481,207,0.051, 2.21 
1008,8,2023-02,386,247,114,5.3%,"1,3"
370,4,2021-11,508,339,140,4.8%,1.81e+00
1043,4,2021-07,551,470,192,0.049,2.08
30,5,2017-05,895,726,313,0.029, 1.86 
916,2,2017-11,444,329,139,,"2,3"
369,4,2022-11,306,241,132,0.070,1.53
986,4,2021-01,550,380,,0.048,2.95
443,1,2018-10,422,310,132,,1.88
296,2,2022-06,557,369,176,0.053, 1.85 
888,7,2021-11,915,686,281,2.0%,1.47
262,7,2023-07,855,642,260,3.6%,2.06e+00
857,9,2017-07,556,407,161,0.057,1.79
631,8,2021-02,364,226,,,"1,3"
679,1,2023-06,-999,229,105,"0,068",1.77
593,7,2021-06,1 110,865,353,,2.76e+00
160,3,2023-09,1090,807,346,?,2.97
267,8,2021-05,535,-999,,?,2.25
1063,6,2020-09,397,,154,0.027,1.73
117,1,2019-08,459,325,122,"0,051",2.04
458,2,2020-08,-999,,115,0.038,1.88e+00
202,6,2018-03,861,690,279,5.8%,2.53
689,3,2016-07,929,726,283,"0,077",2.26
595,2,2016-09,,376,146,5.5%, 2.40 
103,10,2016-09,534,411,170,0.052,9.26e-01
178,6,2024-02,,393,141,0.002,0.87
587,1,2023-10,463,326,150,0.046,1.55
115,3,2016-11,901,664,283,0.057,2.10
748,6,2016-11,,426,141,5.6%,1.56
481,8,2019-06,197,187,91,0.020, 1.98 
655,9,2020-08,826,634,252,0.047,"1,4"
74,8,2017-09,315,229,99,"0,083",0.78
285,4,2020-05,467,355,-999,0.029,2.65
1064,1,2019-04,524,359,161,0.098, 1.77 
311,6,2021-01,552,461,190,5.0%,1.20
385,10,2024-01,811,632,257,0.045,2.61
14,3,2019-10,970,696,298,0.065,2.57
16,7,2019-08,,822,355,6.2%,2.64
61,6,2017-08,-999,385,161,0.026,1.58
94,8,2020-01,413,239,128,0.033,1.96
422,7,2019-04,1272,988,371,4.1%,2.10
879,9,2017-08,903,655,277,0.054,None
832,5,2022-03,721,546,223,0.023,1.28e+00
966,4,2019-05,253,196,73,0.018,0.54
620,9,2024-11,739,,246,0.015,"1,3"
149,1,2016-08,403,220,113,10.5%,1.72e+00
990,5,2016-02,759,494,234,0.031,1.60e+00
643,5,2022-06,1032,-999,343,"0,039",1.63e+00
25,8,2024-09,212,189,,3.5%,1.03e+00
578,6,2017-03,752,590,262,6.8%,2.11
175,9,2020-11,993,768,313,0.072,2.61
952,1,2022-06,369,240,114,0.046,1.76
1009,9,2017-03,-999,318,150,0.007,0.59
391,5,2019-12,671,518,210,0.045,1.05
404,6,2017-02,-999,705,300,2.0%,2.76e+00
39,7,2022-10,1 218,892,382,0.056, 2.60 
791,6,2018-07,572,464,-999,0.034,1.54
100,4,2024-08,372,286,126,0.069,0.55
698,10,2024-03,610,434,185,0.037,1.07
21,7,2022-03,1231,936,,0.024,2.98
299,2,2019-08,-999,330,124,0.033,1.77
20,1,2017-02,326,203,,3.9%,0.46
718,8,2020-06,552,408,177,"0,063",2.17
398,2,2021-09,522,415,180,3.1%, 1.92 
465,8,2016-11,239,169,87,4.1%,1.32
147,4,2024-07,315,173,,0.017, 1.01 
581,2,2021-07,493,343,141,0.031,1.67e+00
11,2,2022-11,519,,172,7.7%,1.73
547,4,2016-08,512,393,185,0.068,1.97
849,2,2018-05,540,360,170,0.058,2.57
179,7,2023-05,,-999,249,0.000,1.66e+00
270,1,2021-07,355,238,97,,0.92
298,4,2020-01,230,208,72,0.017,1.57
280,10,2023-12,797,591,255,0.037,2.14
304,8,2018-05,490,326,124,None,2.84
184,3,2024-06,-999,897,360,0.074, 3.36 
366,9,2023-05,961,667,,0.032,1.66
169,7,2024-05,1256,925,382,0.059, 2.41 
466,8,2024-12,278,,105,"0,046",1.82
699,9,2018-06,494,409,171,0.037, 1.76 
40,5,2017-06,1072,787,,3.2%, 1.53 
919,6,2021-10,619,439,189,4.0%,"1,2"
764,5,2019-10,13428,10018,4214,"0,250",23.31
424,2,2017-05,590,436,196,0.040, 2.63 
1028,5,2019-06,1152,854,368,, 2.43 
576,5,2023-12,596,453,189,0.017,1.15e+00
549,5,2017-04,897,661,287,0.008, 0.78 
622,2,2022-02,403,348,146,0.005,2.26
935,4,2024-09,552,406,161,0.7%,1.75
842,5,2023-04,881,639,280,,1.31
1023,3,2019-11,993,703,328,,2.28
875,7,2018-02,912,721,291,0.034,1.24
461,4,2019-09,411,349,-999,2.1%,1.17e+00
363,8,2022-03,,293,-999,0.077,1.78
619,2,2024-02,388,286,120,0.000,1.85
57,3,2021-07,1060,771,326,0.094,1.35
830,7,2024-01,946,-999,291,,2.58
920,2,2023-05,248,167,,0.1%,1.78
562,9,2019-01,509,449,-999,0.028,"1,6"
705,9,2023-11,621,-999,194,0.033,1.83e+00
338,6,2023-09,,531,210,0.024,1.51e+00
951,1,2016-09,412,287,-999,4.4%,1.83
71,1,2023-01,341,227,91,"0,040", 1.72 
65,10,2019-02,927,694,275,0.091,1.86
582,7,2024-06,,1229,537,9.4%,"3,3"
663,10,2024-02,770,567,,0.026,1.50e+00
435,8,2018-07,533,438,182,None,"2,8"
243,3,2023-04,1 016,738,328,0.055,2.64
695,1,2021-11,611,444,173,, 2.85 
757,3,2021-11,1241,952,,6.9%,"3,3"
644,7,2020-09,929,718,304,"0,066",0.93
530,9,2018-09,949,725,288,0.057, 2.31 
596,5,2024-03,608,492,197,4.8%, 0.98 
564,10,2022-09,-999,504,210,4.5%,1.14
477,5,2019-03,847,632,257,,1.68
77,8,2023-12,247,250,,3.4%,1.15
158,10,2020-04,950,749,304,0.062, 1.91 
54,4,2021-11,418,310,144,NaN,1.74
804,7,2024-04,721,,228,0.057, 1.35 
1037,5,2024-10,1085,819,363,"0,035",1.96e+00
463,5,2018-01,866,687,291,"0,034",1.02
560,8,2022-06,222,198,91,,NaN
829,4,2022-10,231,194,80,0.052,"1,6"
286,3,2017-12,108326,81 248,33 849,0.250,252.32
290,6,2024-06,728,509,223,0.049,0.97
715,7,2023-12,993,800,320,"0,024", 1.29 
1048,10,2018-08,793,642,256,0.034, 2.90 
93,6,2023-10,-999,335,142,0.044,0.10
494,10,2017-08,666,498,211,0.047,"1,9"
524,10,2017-05,926,659,275,-999,1.97
59,2,2020-12,482,363,129,"0,027",None
334,8,2019-02,326,260,118,, 1.10 
550,1,2024-06,299,208,-999,0.000,1.38
586,5,2023-07,783,516,223,0.024,1.93
127,1,2023-02,409,333,150,0.032,2.57
851,10,2017-07,556,460,183,,9.57e-01
512,2,2021-02,610,-999,200,0.077, 2.47 
825,6,2021-05,-999,7389,3077,25.0%, 23.90 
480,5,2018-10,830,623,250,"0,047",1.12
985,10,2016-08,1041,766,320,NaN, 2.70 
423,2,2021-11,494,297,160,None, 1.81 
210,4,2017-10,573,473,182,0.031,1.42
848,8,2016-02,59226,44455,18 529,"0,250", 250.86 
167,10,2019-11,799,590,256,0.010,"1,4"
812,3,2017-11,930,752,290,2.0%,3.18
993,3,2022-09,849,619,260,0.058,1.28
623,3,2019-06,1172,852,370,0.089,2.72
733,8,2017-03,383,310,115,0.025,1.76e+00
6,9,2016-08,778,621,250,0.013, 2.22 
898,5,2016-11,1010,777,-999,5.6%,1.98
507,8,2022-05,356,227,83,,1.36
52,6,2021-11,582,445,180,0.093,0.85
209,3,2022-07,1025,707,312,0.067, 2.28 
1071,2,2016-04,454,337,151,"0,017",1.22e+00
406,4,2023-11,-999,254,86,1.9%,"1,5"
725,3,2018-02,,759,293,"0,045",1.91
269,9,2022-04,-999,602,237,"0,043",1.96
153,4,2019-03,486,338,136,0.035,2.26
704,3,2022-01,1166,795,345,,2.94
798,4,2024-04,,220,112,0.057,1.79e+00
994,3,2024-04,1065,775,335,0.080, 1.60 
838,3,2016-05,-999,,290,0.054,1.79
833,4,2016-01,551,392,,"0,051", 1.83 
977,9,2017-09,825,574,236,"0,040",1.39
901,9,2018-12,657,553,223,"0,046",1.87e+00
219,1,2016-06,480,385,154,0.089,2.02
813,7,2024-09,869,688,285,0.000, 1.47 
554,1,2023-11,547,437,168,, 1.82 
365,7,2019-10,988,696,287,0.044,2.08
73,2,2023-12,434,326,,"0,030",3.09
989,8,2017-01,365,285,110,0.031,0.95
651,9,2020-10,869,709,296,0.019,2.42
62,10,2023-10,-999,336,118,"0,003",1.34
962,6,2023-08,,575,231,?,2.87e+00
800,2,2019-06,708,,243,11.5%, 3.26 
910,7,2019-03,,561,217,0.040, 1.43 
138,8,2024-03,378,334,118,6.2%, 1.64 
346,9,2016-10,,501,187,0.009,?
922,7,2024-08,626,475,195,0.000,1.90
580,7,2018-09,1122,813,,0.043,2.11
660,8,2019-07,,187,75,0.042, 1.18 
527,2,2017-08,719,511,218,, 2.75 
713,6,2018-01,716,529,220,0.045,1.30e+00
774,8,2024-07,447,372,,0.065,1.87
691,3,2018-09,787,585,259,"0,033",1.91e+00
614,8,2018-04,243,202,84,0.014,0.02
538,5,2020-06,938,674,284,0.046, 1.79 
360,6,2023-01,445,387,143,0.009,1.61e+00
137,6,2022-02,743,549,235,0.017,1.40e+00
263,7,2021-03,1268,928,386,0.047,"2,3"
485,4,2020-03,587,448,174,0.064,"2,2"
121,4,2018-09,401,324,114,2.7%,1.45
863,8,2018-12,-999,225,99,,1.77
99,6,2019-03,,309,148,0.048, 1.67 
702,3,2017-06,1057,-999,316,"0,043","2,1"
206,5,2023-06,514,441,174,0.009,"0,8"
70,5,2019-02,1228,897,389,0.050,1.92
1032,4,2017-07,-999,340,140,0.043,2.17
1050,2,2019-03,428,350,-999,0.036, 2.12 
657,10,2024-04,399,309,139,0.033,1.14
102,2,2022-09,485,341,177,"0,051",2.04
90,2,2021-04,453,370,142,0.049,1.50
433,2,2020-11,662,441,203,0.067, 2.66 
337,4,2017-03,,394,163,0.050,1.15e+00
345,6,2020-11,708,648,251,3.4%,1.79e+00
340,1,2022-03,248,201,82,"0,040",0.87
67,7,2016-07,1390,996,421,0.018,"1,7"
3,8,2018-11,239,-999,83,,0.49
626,7,2021-10,847,531,254,None, 1.66 
336,5,2017-01,787,604,239,"0,043",0.99
396,8,2017-11,321,250,93,0.014, 2.06 
1075,1,2019-12,228,164,79,3.4%,0.72
678,8,2016-01,-999,288,118,0.047, 1.43 
775,1,2017-08,411,267,126,0.030,"2,2"
386,2,2019-05,509,486,164,0.047,2.38e+00
389,8,2019-09,244,200,67,,"1,3"
13,7,2019-06,1003,679,293,0.040,1.79
420,7,2023-02,1085,805,325,"0,002",2.10
788,5,2016-05,798,635,253,0.052,"1,4"
75,7,2024-11,1268,958,407,, 2.30 
835,2,2021-01,693,,214,0.039,2.46
292,5,2023-09,1126,770,368,,1.75
868,3,2024-11,419,324,136,"0,025","1,9"
755,8,2020-04,493,407,164,0.039,2.18
802,3,2016-03,1149,854,368,"0,047", 2.28 
611,5,2022-05,,732,276,2.8%,2.02
251,3,2024-07,936,673,274,5.2%,2.13e+00
187,6,2018-06,629,450,184,0.044,NaN
890,3,2019-07,987,745,-999,3.8%,2.27
880,2,2016-05,333,311,132,0.014,1.18e+00
317,5,2019-11,1029,773,305,,1.32
928,5,2019-04,13757,,4293,0.250,"24,1"
652,3,2017-04,1226,933,379,0.090,3.06
943,1,2022-06,354,262,109,0.029,1.50e+00
488,4,2016-10,613,494,182,0.027,2.87
918,6,2017-12,848,636,272,8.1%,2.27
515,1,2018-11,291,,86,0.026, 0.42 
256,10,2016-03,947,683,318,"0,029",1.62e+00
818,9,2021-08,-999,,186,1.8%, 1.91 
113,9,2018-03,580,408,178,"0,000",1.47
1046,2,2020-03,,346,158,0.073,1.96
72,10,2017-03,,582,,,1.66
151,9,2017-04,800,666,262,0.054, 1.28 
144,9,2022-12,-999,429,173,"0,062",0.33
869,6,2016-01,731,569,-999,5.3%,1.28
752,6,2021-03,,542,212,,2.07e+00
945,6,2017-01,855,585,252,0.048,"2,7"
572,6,2024-09,588,480,183,3.6%,1.44
589,9,2018-11,530,398,166,0.027, 1.43 
335,3,2017-09,1081,787,328,0.032, 2.95 
295,3,2022-11,1001,807,,0.033,
953,10,2018-06,622,500,192,0.042, 2.16 
183,4,2018-01,582,410,156,4.9%,2.25
1025,10,2019-09,546,-999,177,3.8%,-999
565,3,2019-02,722,553,227,0.006,2.15
332,2,2019-12,342,237,114,0.003, 1.60 
817,10,2019-12,514,,165,"0,029",2.42e+00
1021,1,2023-04,346,274,105,, 1.91 
820,6,2018-10,505,364,-999,0.037,1.05
671,3,2021-02,565,426,181,"0,028","2,5"
381,7,2017-03,1317,993,411,8.3%, 2.37 
552,6,2020-12,824,661,253,0.035, 1.48 
1033,9,2022-05,,548,,0.000,1.66
373,7,2018-05,1390,1040,459,3.4%,1.44
23,1,2021-10,452,315,158,0.041,1.22
668,1,2017-10,491,366,151,, 2.81 
1059,2,2024-10,435,388,159,"0,060", 2.69 
991,3,2023-02,996,761,292,0.057,1.50
940,5,2020-11,,751,319,0.035, 1.80 
120,9,2022-06,933,691,300,5.4%,"1,6"
236,10,2019-04,751,609,216,0.061,1.41e+00
282,9,2024-03,783,606,223,0.049,1.34
960,5,2020-01,-999,483,181,,0.51
437,5,2018-03,1087,728,326,0.077,1.59
836,2,2018-05,662,499,184,7.7%,1.96e+00
600,10,2016-07,-999,318,145,0.027,1.52
773,1,2016-02,5219,3874,1 628,25.0%,24.67
717,4,2016-10,248,189,85,6.1%,0.32
303,9,2021-12,1086,787,344,0.068,1.66
544,3,2021-10,831,696,288,0.001,1.81
946,10,2019-08,864,660,264,6.2%,2.92
640,4,2022-07,400,241,,0.042,1.45
448,1,2016-11,5226,3923,,25.0%,2.38e+01
17,10,2020-06,10010,7548,3129,0.250,24.06
79,2,2021-05,551,420,154,0.047, 1.55 
1066,1,2016-03,331,225,110,6.2%, 2.05 
522,9,2019-06,595,506,209,0.026,0.87
969,9,2024-07,1184,897,368,0.088,2.48
372,5,2020-03,,822,339,0.051,"1,9"
455,1,2021-05,413,303,127,"0,038",1.47
1010,9,2023-10,532,398,167,0.037,
235,10,2022-01,749,527,,0.053, 2.26 
44,8,2021-06,59277,44507,18545,0.250,250.51
690,3,2016-01,1080,801,340,"0,077",2.82
1003,8,2020-12,223,190,79,0.052,1.68e+00
939,6,2023-11,543,395,149,0.025,1.58e+00
765,9,2020-02,942,639,295,2.3%,1.81
992,4,2023-02,61376,46055,,25.0%,251.52
850,9,2016-03,841,635,254,0.000,1.10
1055,10,2024-11,435,349,120,0.020,
1054,8,2022-10,-999,253,70,4.0%,0.54
24,2,2023-09,527,353,146,1.5%,2.88
284,9,2016-02,660,540,210,0.006,1.05
751,10,2019-10,640,429,182,"0,015","0,7"
1000,6,2024-10,457,340,130,0.000, 0.39 
85,2,2019-02,423,297,127,3.1%,1.45e+00
300,8,2020-05,326,-999,106,0.035,0.48
526,10,2016-11,104461,78 372,,25.0%,251.23
645,1,2020-02,326,261,110,0.039,1.83
618,2,2023-08,352,237,114,"0,079", 1.25 
1013,5,2024-12,13325,10036,4 172,,23.02
359,1,2017-04,409,367,136,4.5%, 1.55 
486,9,2018-08,499,409,,,NaN
703,4,2023-07,494,343,147,"0,016", 2.45 
871,2,2024-04,469,326,,"0,039","2,6"
328,5,2022-08,1157,846,366,0.045,2.00
319,4,2019-09,464,343,129,0.029,0.75
763,8,2023-01,293,207,92,0.031,1.42
229,3,2017-02,1112,839,347,"0,051",4.00
984,8,2022-09,280,228,,0.031,1.17
1070,8,2023-07,456,365,134,2.9%,1.89
12,10,2019-07,709,490,221,0.031,1.13
177,7,2023-04,694,554,,0.020,1.78
649,2,2023-11,362,285,117,3.9%,1.16
777,4,2016-12,280,189,89,0.4%,"0,7"
948,1,2021-05,388,293,109,"0,054", 1.46 
218,5,2016-06,935,731,296,0.066,-999
476,6,2022-03,735,571,237,1.3%,0.91
226,8,2019-11,363,266,113,3.3%,1.61
482,10,2023-03,651,487,198,0.037,?
870,3,2018-12,108 183,-999,33812,0.250,2.51e+02
349,1,2016-12,,-999,-999,6.2%,2.58
